Quote,Author,emotion
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,Joy
"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.",Maurice Switzer,Fear
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",John Green,Joy
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,Joy
Life is what happens to you while you're busy making other plans.,Allen Saunders,Anger
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,Joy
"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).",Mark Twain,Joy
It does not do to dwell on dreams and forget to live.,J.K. Rowling,Joy
"The fool doth think he is wise, but the wise man knows himself to be a fool.",William Shakespeare,Joy
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,Fear
"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bil Keane,Fear
"We are all in the gutter, but some of us are looking at the stars.",Oscar Wilde,Fear
If you don't stand for something you will fall for anything.,Gordon A. Eadie,Joy
The man who does not read has no advantage over the man who cannot read.,Mark Twain,Joy
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,Joy
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,Anger
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,Anger
"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",Neil Gaiman,Anger
"Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.",Groucho Marx,Fear
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams,Joy
I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,Joy
"A day without sunshine is like, you know, night.",Steve Martin,Joy
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,Joy
Never put off till tomorrow what may be done day after tomorrow just as well.,Mark Twain,Anger
"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,Joy
I solemnly swear that I am up to no good.,J.K. Rowling,Joy
That which does not kill us makes us stronger.,Friedrich Nietzsche,Joy
Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,Neil Gaiman,Fear
"Love all, trust a few, do wrong to none.",William Shakespeare,Joy
You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,Dr. Seuss,Joy
"If you judge people, you have no time to love them.",Mother Teresa,Anger
"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",Sarah Dessen,Joy
For every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,Anger
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,Joy
My thoughts are stars I cannot fathom into constellations.,John Green,Fear
I love deadlines. I love the whooshing noise they make as they go by.,Douglas Adams,Anger
It is never too late to be what you might have been.,George Eliot,Anger
Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,Garrison Keillor,Joy
"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",George R.R. Martin,Anger
"I'm not upset that you lied to me, I'm upset that from now on I can't believe you.",Friedrich Nietzsche,Anger
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,Fear
"Women and cats will do as they please, and men and dogs should relax and get used to the idea.",Robert A. Heinlein,Joy
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J.K. Rowling,Joy
Love is that condition in which the happiness of another person is essential to your own.,Robert A. Heinlein,Joy
Sometimes the questions are complicated and the answers are simple.,Dr. Seuss,Joy
I have always imagined that Paradise will be a kind of library.,Jorge Luis Borges,Joy
We read to know we're not alone.,William Nicholson,Fear
"You love me. Real or not real?""I tell him, ""Real.",Suzanne Collins,Joy
"We don't see things as they are, we see them as we are.",Anaïs Nin,Anger
Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,Anger
All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,Joy
Everything you can imagine is real.,Pablo Picasso,Joy
There is no greater agony than bearing an untold story inside you.,Maya Angelou,Joy
"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Dr. Seuss,Joy
"Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.",John Green,Fear
Never trust anyone who has not brought a book with them.,Lemony Snicket,Joy
"Whenever I feel the need to exercise, I lie down until it goes away.",Paul Terry,Joy
I'm not afraid of death; I just don't want to be there when it happens.,Woody Allen,Fear
"I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..",Nicholas Sparks,Joy
"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",Albert Einstein,Joy
"Have you fallen in love with the wrong person yet?'Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself.""...""At least,""she said, ""you don't have to worry about rejection, Jace Wayland.""""Not necessarily. I turn myself down occasionally, just to keep it interesting.",Cassandra Clare,Joy
"If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.",Joan Powers,Joy
Logic will get you from A to Z; imagination will get you everywhere.,Albert Einstein,Joy
"One good thing about music, when it hits you, you feel no pain.",Bob Marley,Joy
"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",Dr. Seuss,Joy
Not all of us can do great things. But we can do small things with great love.,Mother Teresa,Joy
"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.",J.K. Rowling,Fear
You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.,John Green,Anger
"You don’t have a soul, Doctor. You are a soul. You have a body, temporarily.",Walter M. Miller Jr.,Joy
"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",Bob Marley,Anger
Folks are usually about as happy as they make their minds up to be.,Abraham Lincoln,Joy
"Love looks not with the eyes, but with the mind,And therefore is winged Cupid painted blind.",William Shakespeare,Joy
"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",Haruki Murakami,Anger
"Love is like the wind, you can't see it but you can feel it.",Nicholas Sparks,Joy
"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",J.K. Rowling,Fear
Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.,Markus Zusak,Joy
You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,Joy
"If one cannot enjoy reading a book over and over again, there is no use in reading it at all.",Oscar Wilde,Joy
The difference between genius and stupidity is: genius has its limits.,Alexandre Dumas-fils,Joy
"I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.",Virginia Woolf,Anger
"Do what you can, with what you have, where you are.",Theodore Roosevelt,Joy
"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,Anger
"To the well-organized mind, death is but the next great adventure.",J.K. Rowling,Joy
"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",Shel Silverstein,Joy
"We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.",Robert Fulghum,Fear
"I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.",Groucho Marx,Joy
"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,Joy
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,Joy
"You don't love someone because they're perfect, you love them in spite of the fact that they're not.",Jodi Picoult,Joy
"He's like a drug for you, Bella.",Stephenie Meyer,Anger
"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",Marilyn Monroe,Joy
The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,Marilyn Monroe,Joy
"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein,Joy
Some infinities are bigger than other infinities.,John Green,Fear
"Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.",Anaïs Nin,Anger
There is no friend as loyal as a book.,Ernest Hemingway,Joy
Who are you to judge the life I live?I know I'm not perfect-and I don't live to be-but before you start pointing fingers...make sure you hands are clean!,Bob Marley,Joy
The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move.,Douglas Adams,Anger
Time you enjoy wasting is not wasted time.,Marthe Troly-Curtin,Anger
"Piglet sidled up to Pooh from behind. ""Pooh!""he whispered.""Yes, Piglet?""""Nothing,""said Piglet, taking Pooh's paw. ""I just wanted to be sure of you.",A.A. Milne,Joy
"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",Marilyn Monroe,Fear
"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",Jane Austen,Joy
Do one thing every day that scares you.,Eleanor Roosevelt,Fear
"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",Terry Pratchett,Joy
If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Lord Tennyson,Joy
"It matters not what someone is born, but what they grow to be.",J.K. Rowling,Joy
Some people never go crazy. What truly horrible lives they must lead.,Charles Bukowski,Fear
Reality continues to ruin my life.,Bill Watterson,Anger
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston S. Churchill,Joy
It is what you read when you don't have to that determines what you will be when you can't help it.,Oscar Wilde,Fear
"There is no pretending,""Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.",Cassandra Clare,Joy
"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.",Stephen Chbosky,Joy
I love mankind ... it's people I can't stand!!,Charles M. Schulz,Anger
Things change. And friends leave. Life doesn't stop for anybody.,Stephen Chbosky,Anger
"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",Suzanne Collins,Joy
You don’t forget the face of the person who was your last hope.,Suzanne Collins,Joy
The only way out of the labyrinth of suffering is to forgive.,John Green,Joy
Go to heaven for the climate and hell for the company.,Benjamin Franklin Wade,Joy
The reason I talk to myself is because I’m the only one whose answers I accept.,George Carlin,Joy
I am free of all prejudice. I hate everyone equally.,W.C. Fields,Anger
"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",J.D. Salinger,Joy
"What is success? I think it is a mixture of having a flair for the thing that you are doing; knowing that it is not enough, that you have got to have hard work and a certain sense of purpose.",Margaret Thatcher,Joy
At the moment of death I hope to be surprised.,Ivan Illich,Fear
Unrest of spirit is a mark of life.,Karl A. Menninger,Anger
"Humor is something that thrives between man's aspirations and his limitations. There is more logic in humor than in anything else. Because, you see, humor is truth.",Victor Borge,Joy
"Literature is the art of discovering something extraordinary about ordinary people, and saying with ordinary words something extraordinary.",Boris Pasternak,Joy
"If everyone is moving forward together, then success takes care of itself.",Henry Ford,Joy
Hope is the only universal liar who never loses his reputation for veracity.,Robert Green Ingersoll,Joy
"Ships that pass in the night, and speak each other in passing, only a signal shown, and a distant voice in the darkness; So on the ocean of life, we pass and speak one another, only a look and a voice, then darkness again and a silence.",Henry Wadsworth Longfellow,Fear
Love is the beauty of the soul.,Saint Augustine,Joy
Wit - the salt with which the American humorist spoils his intellectual cookery by leaving it out.,Ambrose Bierce,Joy
Politics is the art of controlling your environment.,Hunter S. Thompson,Anger
"He has achieved success who has worked well, laughed often, and loved much.",Elbert Hubbard,Joy
Hope is the last thing a person does before they are defeated.,Henry Rollins,Joy
"Life is a gift, given in trust - like a child.",Anne Morrow Lindbergh,Joy
Where there is love there is life.,Mahatma Gandhi,Joy
Humor brings insight and tolerance. Irony brings a deeper and less friendly understanding.,Agnes Repplier,Joy
Advertising is the art of convincing people to spend money they don't have for something they don't need.,Will Rogers,Joy
Success makes so many people hate you. I wish it wasn't that way. It would be wonderful to enjoy success without seeing envy in the eyes of those around you.,Marilyn Monroe,Joy
The world is bad but not without hope. It is only hopeless when you look at it from an ideal viewpoint.,Friedrich Durrenmatt,Joy
Life is wasted on the living.,Douglas Adams,Anger
A kiss is a lovely trick designed by nature to stop speech when words become superfluous.,Ingrid Bergman,Joy
Humor can alter any situation and help us cope at the very instant we are laughing.,Allen Klein,Joy
"Just as pure abstract art is not dogmatic, neither is it decorative.",Piet Mondrian,Joy
Success comes from knowing that you did your best to become the best that you are capable of becoming.,John Wooden,Joy
"It's time to get real, folks. Hope and change ain't working. Hope and change is not a solution. Hope and change is not a job.",Herman Cain,Joy
Life in abundance comes only through great love.,Elbert Hubbard,Joy
Life is the flower for which love is the honey.,Victor Hugo,Joy
The best way to make your audience laugh is to start laughing yourself.,Oliver Goldsmith,Joy
"Don't only practice your art, but force your way into its secrets; art deserves that, for it and knowledge can raise man to the Divine.",Ludwig van Beethoven,Joy
The most important single ingredient in the formula of success is knowing how to get along with people.,Theodore Roosevelt,Joy
I always believe things are going to work out.,Francoise Sagan,Joy
"Life is a culmination of the past, an awareness of the present, an indication of a future beyond knowledge, the quality that gives a touch of divinity to matter.",Charles Lindbergh,Joy
Love is being stupid together.,Paul Valery,Anger
Comedy has to be based on truth. You take the truth and you put a little curlicue at the end.,Sid Caesar,Joy
Architecture is the art of how to waste space.,Philip Johnson,Anger
It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things.,Leonardo da Vinci,Joy
"We often call a certainty a hope, to bring it luck.",Elizabeth Bibesco,Joy
To live is so startling it leaves little time for anything else.,Emily Dickinson,Fear
"You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You yourself, as much as anybody in the entire universe deserve your love and affection.",Buddha,Joy
There seems to be no lengths to which humorless people will not go to analyze humor. It seems to worry them.,Robert Benchley,Fear
"People discuss my art and pretend to understand as if it were necessary to understand, when it's simply necessary to love.",Claude Monet,Joy
Always bear in mind that your own resolution to succeed is more important than any other.,Abraham Lincoln,Joy
Hope is independent of the apparatus of logic.,Norman Cousins,Joy
Seventy percent of success in life is showing up.,Woody Allen,Joy
"We're born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone.",Orson Welles,Joy
Great men are rarely isolated mountain peaks; they are the summits of ranges.,Thomas W. Higginson,Fear
Space is the breath of art.,Frank Lloyd Wright,Joy
"When someone loves you, the way they talk about you is different. You feel safe and comfortable.",Jess C. Scott,Joy
"When love and skill work together, expect a masterpiece.",John Ruskin,Joy
"Easter is meant to be a symbol of hope, renewal, and new life.",Janine di Giovanni,Joy
To be able to look back upon one's past life with satisfaction is to live twice.,Lord Acton,Joy
The course of true love never did run smooth.,William Shakespeare,Joy
Humor is merely tragedy standing on its head with its pants torn.,Irvin S. Cobb,Anger
"Science fiction is any idea that occurs in the head and doesn't exist yet, but soon will, and will change everything for everybody, and nothing will ever be the same again. As soon as you have an idea that changes some small part of the world you are writing science fiction. It is always the art of the possible, never the impossible.",Ray Bradbury,Joy
You don't have to be a genius or a visionary or even a college graduate to be successful. You just need a framework and a dream.,Michael Dell,Joy
"Outside of the cross of Jesus Christ, there is no hope in this world. That cross and resurrection at the core of the Gospel is the only hope for humanity. Wherever you go, ask God for wisdom on how to get that Gospel in, even in the toughest situations of life.",Ravi Zacharias,Joy
"Any life is made up of a single moment, the moment in which a man finds out, once and for all, who he is.",Jorge Luis Borges,Fear
"Love is like a beautiful flower which I may not touch, but whose fragrance makes the garden a place of delight just the same.",Helen Keller,Joy
Wit is the lowest form of humor.,Alexander Pope,Anger
There is nothing in the world of art like the songs mother used to sing.,Billy Sunday,Joy
Success isn't measured by money or power or social rank. Success is measured by your discipline and inner peace.,Mike Ditka,Joy
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford,Joy
Wrong life cannot be lived rightly.,Theodor Adorno,Anger
The most powerful weapon on earth is the human soul on fire.,Ferdinand Foch,Anger
"It is the ability to take a joke, not make one, that proves you have a sense of humor.",Max Eastman,Joy
"Every bit of me is devoted to love and art. And I aspire to try to be a teacher to my young fans who feel just like I felt when I was younger. I just felt like a freak. I guess what I'm trying to say is I'm trying to liberate them, I want to free them of their fears and make them feel that they can make their own space in the world.",Lady Gaga,Fear
"There is nothing better than a friend, unless it is a friend with chocolate.",Linda Grayson,Joy
What's money? A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do.,Bob Dylan,Joy
"It is difficult to say what is impossible, for the dream of yesterday is the hope of today and the reality of tomorrow.",Robert H. Schuller,Joy
You have succeeded in life when all you really want is only what you really need.,Vernon Howard,Joy
"Love is when he gives you a piece of your soul, that you never knew was missing.",Torquato Tasso,Joy
"A humorist is a person who feels bad, but who feels good about it.",Don Herold,Anger
The most beautiful thing we can experience is the mysterious. It is the source of all true art and science.,Albert Einstein,Fear
What a slut time is. She screws everybody.,John Green,Anger
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,Joy
"To be successful, you have to have your heart in your business and your business in your heart.",Thomas J. Watson,Joy
"He who has health, has hope; and he who has hope, has everything.",Thomas Carlyle,Joy
"The greatest trap in our life is not success, popularity or power, but self-rejection.",Henri Nouwen,Joy
"We love life, not because we are used to living but because we are used to loving.",Friedrich Nietzsche,Joy
"Women, as they grow older, rely more and more on cosmetics. Men, as they grow older, rely more and more on a sense of humor.",George Jean Nathan,Joy
"I consider skateboarding an art form, a lifestyle and a sport. 'Action sport' would be the least offensive categorization.",Tony Hawk,Anger
The size of your success is measured by the strength of your desire; the size of your dream; and how you handle disappointment along the way.,Robert Kiyosaki,Joy
"All that I am, or hope to be, I owe to my angel mother.",Abraham Lincoln,Joy
Character develops itself in the stream of life.,Johann Wolfgang von Goethe,Joy
"Love and compassion are necessities, not luxuries. Without them humanity cannot survive.",Dalai Lama,Joy
"Humor is perhaps a sense of intellectual perspective: an awareness that some things are really important, others not; and that the two kinds are most oddly jumbled in everyday affairs.",Christopher Morley,Joy
Tact is the art of making a point without making an enemy.,Isaac Newton,Joy
If you want to be truly successful invest in yourself to get the knowledge you need to find your unique factor. When you find it and focus on it and persevere your success will blossom.,Sydney Madwed,Joy
"The great gift of Easter is hope - Christian hope which makes us have that confidence in God, in his ultimate triumph, and in his goodness and love, which nothing can shake.",Basil Hume,Joy
Life consists not in holding good cards but in playing those you hold well.,Josh Billings,Joy
Love has reasons which reason cannot understand.,Blaise Pascal,Anger
What a strange world this would be if we all had the same sense of humor.,Bernard Williams,Fear
"Where thou art, that is home.",Emily Dickinson,Anger
Formal education will make you a living; self-education will make you a fortune.,Jim Rohn,Joy
Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,Helen Keller,Joy
The greatest use of a life is to spend it on something that will outlast it.,William James,Joy
Love is an irresistible desire to be irresistibly desired.,Robert Frost,Joy
"One can never speak enough of the virtues, the dangers, the power of shared laughter.",Francoise Sagan,Joy
"Filmmaking, like any other art, is a very profound means of human communication; beyond the professional pleasure of succeeding or the pain of failing, you do want your film to be seen, to communicate itself to other people.",Kenneth Lonergan,Joy
"Think twice before you speak, because your words and influence will plant the seed of either success or failure in the mind of another.",Napoleon Hill,Joy
Black and white are the colors of photography. To me they symbolize the alternatives of hope and despair to which mankind is forever subjected.,Robert Frank,Fear
"Life is a succession of moments, to live each one is to succeed.",Corita Kent,Joy
"I love that feeling of being in love, the effect of having butterflies when you wake up in the morning. That is special.",Jennifer Aniston,Joy
Wit is an explosion of the compound spirit.,Karl Wilhelm Friedrich Schlegel,Anger
The art of simplicity is a puzzle of complexity.,Douglas Horton,Joy
"In order to attain the impossible, one must attempt the absurd.",Miguel de Cervantes,Joy
"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.",Brad Henry,Joy
Fortunately analysis is not the only way to resolve inner conflicts. Life itself still remains a very effective therapist.,Karen Horney,Joy
Love is the flower you've got to let grow.,John Lennon,Joy
This I conceive to be the chemical function of humor: to change the character of our thought.,Lin Yutang,Anger
"In art, the obvious is a sin.",Edward Dmytryk,Anger
Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,Ralph Waldo Emerson,Joy
"Success depends upon previous preparation, and without such preparation there is sure to be failure.",Confucius,Joy
There was never a night or a problem that could defeat sunrise or hope.,Bernard Williams,Joy
The chief danger in life is that you may take too many precautions.,Alfred Adler,Fear
I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,Robert Fulghum,Joy
Laughter is involuntary. If it's funny you laugh.,Tom Lehrer,Anger
"The art of healing comes from nature, not from the physician. Therefore the physician must start from nature, with an open mind.",Paracelsus,Joy
Success is finding satisfaction in giving a little more than you take.,Christopher Reeve,Joy
"You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.",Woodrow Wilson,Joy
It takes half your life before you discover life is a do-it-yourself project.,Napoleon Hill,Fear
What force is more potent than love?,Igor Stravinsky,Joy
The satirist shoots to kill while the humorist brings his prey back alive and eventually releases him again for another chance.,Peter De Vries,Anger
Minimal art went nowhere.,Sol LeWitt,Joy
The secrets of success are a good wife and a steady job. My wife told me.,Howard Nemerov,Joy
"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future.",Lewis B. Smedes,Joy
"What we think determines what happens to us, so if we want to change our lives, we need to stretch our minds.",Wayne Dyer,Joy
"Time is too slow for those who wait, too swift for those who fear, too long for those who grieve, too short for those who rejoice, but for those who love, time is eternity.",Henry Van Dyke,Fear
A sense of humor is the ability to understand a joke - and that the joke is oneself.,Clifton Fadiman,Joy
"Perhaps it's good for one to suffer. Can an artist do anything if he's happy? Would he ever want to do anything? What is art, after all, but a protest against the horrible inclemency of life?",Aldous Huxley,Joy
"Frustration, although quite painful at times, is a very positive and essential part of success.",Bo Bennett,Joy
"Where there is no vision, there is no hope.",George Washington Carver,Fear
"Life is never fair, and perhaps it is a good thing for most of us that it is not.",Oscar Wilde,Joy
"If you can learn to love yourself and all the flaws, you can love other people so much better. And that makes you so happy.",Kristin Chenoweth,Joy
Puns are a form of humor with words.,Guillermo Cabrera Infante,Anger
I think you can do anything with comics that you could do in just about any art form.,Harvey Pekar,Joy
"Formula for success: rise early, work hard, strike oil.",J. Paul Getty,Joy
A leader is a dealer in hope.,Napoleon Bonaparte,Joy
Life must be lived as play.,Plato,Joy
"Love is a force more formidable than any other. It is invisible - it cannot be seen or measured, yet it is powerful enough to transform you in a moment, and offer you more joy than any material possession could.",Barbara de Angelis,Joy
There is no defense against adverse fortune which is so effectual as an habitual sense of humor.,Thomas W. Higginson,Joy
"When the bright angel dominates, out comes a great work of art, a Michelangelo David or a Beethoven symphony.",Madeleine L'Engle,Joy
There is nothing to writing. All you do is sit down at a typewriter and bleed.,Ernest Hemingway,Anger
"If you want to achieve things in life, you've just got to do them, and if you're talented and smart, you'll succeed.",Juliana Hatfield,Joy
"Imagine all the people living life in peace. You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us, and the world will be as one.",John Lennon,Joy
We live in the world when we love it.,Rabindranath Tagore,Joy
"You, yourself, as much as anybody in the entire universe, deserve your love and affection.",Buddha,Joy
All art constantly aspires towards the condition of music.,Walter Pater,Joy
The marks humans leave are too often scars.,John Green,Anger
The question isn't who is going to let me; it's who is going to stop me.,Ayn Rand,Fear
"The greatest sign of success for a teacher... is to be able to say, 'The children are now working as if I did not exist.'",Maria Montessori,Joy
"Pakistan not only means freedom and independence but the Muslim Ideology which has to be preserved, which has come to us as a precious gift and treasure and which, we hope other will share with us.",Muhammad Ali Jinnah,Joy
The man who has no inner-life is a slave to his surroundings.,Henri Frederic Amiel,Anger
Love is a smoke made with the fume of sighs.,William Shakespeare,Joy
